diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
3,12:30,13:30,,AN,2A,
4,12:30,13:30,,JM,2B,
5,12:30,13:30,,NM,2C,
3,12:30,13:30,,L,3A,
4,12:30,13:30,,MA,3B,
5,12:30,13:30,,A,3C,
3,12:30,13:30,,AP,3rD,
3,12:30,13:30,,LM,4tA,
1,12:30,13:30,,JC,4tB,
3,12:30,13:30,,IM,4tC,
5,13:30,14:30,,MCY,1A,
1,13:30,14:30,,LA,1B,
2,13:30,14:30,,S,1C,
3,13:30,14:30,,F,2A,
5,13:30,14:30,,CM,2B,
1,13:30,14:30,,LC,2C,
2,13:30,14:30,,PF,3A,
3,13:30,14:30,,R,3B,
1,13:30,14:30,,IZ,3C,
3,13:30,14:30,,MS,3rD,
5,13:30,14:30,,DP,4tA,
1,13:30,14:30,,LM,4tB,
2,13:30,14:30,,JC,4tC,
3,8:00,9:00,,S,1A,
4,8:00,9:00,,R,1B,
5,8:00,9:00,,PF,1C,
1,8:00,9:00,,AN,2A,
2,8:00,9:00,,JM,2B,
3,8:00,9:00,,NM,2C,
4,8:00,9:00,,L,3A,
3,8:00,9:00,,MA,3B,
4,8:00,9:00,,A,3C,
3,8:00,9:00,,AP,3rD,
1,8:00,9:00,,IM,4tA,
3,8:00,9:00,,DP,4tB,
5,8:00,9:00,,JT,4tC,
1,9:00,10:00,,R,1A,
2,9:00,10:00,,CM,1B,
3,9:00,10:00,,S,1C,
5,9:00,10:00,,AN,2A,
2,9:00,10:00,,JM,2B,
3,9:00,10:00,,NM,2C,
1,9:00,10:00,,L,3A,
3,9:00,10:00,,MA,3B,
5,9:00,10:00,,A,3C,
1,9:00,10:00,,AP,3rD,
2,9:00,10:00,,JT,4tA,
3,9:00,10:00,,LM,4tB,
4,9:00,10:00,,MV,4tC,
5,10:00,11:00,,CM,1A,
1,10:00,11:00,,MCY,1B,
2,10:00,11:00,,PF,1C,
3,10:00,11:00,,AF,2A,
4,10:00,11:00,,JM,2B,
5,10:00,11:00,,LA,2C,
3,10:00,11:00,,LM,3A,
4,10:00,11:00,,F,3B,
3,10:00,11:00,,JC,3C,
2,10:00,11:00,,MS,3rD,
4,10:00,11:00,,IZ,4tA,
5,10:00,11:00,,JT,4tB,
1,10:00,11:00,,BR,4tC,
2,11:00,11:30,,JC,1A,
3,11:30,12:30,,LC,1A,
4,11:30,12:30,,CM,1B,
5,11:30,12:30,,MCY,1C,
2,11:30,12:30,,PF,2A,
4,11:30,12:30,,LA,2B,
5,11:30,12:30,,F,2C,
2,11:30,12:30,,R,3A,
3,11:30,12:30,,IM,3B,
1,11:30,12:30,,IZ,3C,
3,11:30,12:30,,MV,3rD,
4,11:30,12:30,,L,4tA,
5,11:30,12:30,,MÇ,4tB,
3,11:30,12:30,,AP,4tC,
4,12:30,13:30,,MA,1A,
5,12:30,13:30,,A,1B,
4,12:30,13:30,,S,1C,
5,12:30,13:30,,F,2A,
3,12:30,13:30,,MCY,2B,
3,12:30,13:30,,MS,2C,
1,12:30,13:30,,IM,3A,
2,12:30,13:30,,JC,3B,
4,12:30,13:30,,MV,3C,
5,12:30,13:30,,CM,3rD,
1,12:30,13:30,,AF L,4tA,
2,12:30,13:30,,NM AP,4tB,
4,12:30,13:30,,AN MÇ,4tC,
5,13:30,14:30,,MA,1A,
1,13:30,14:30,,A,1B,
2,13:30,14:30,,S,1C,
3,13:30,14:30,,LA,2A,
4,13:30,14:30,,CM,2B,
5,13:30,14:30,,MS,2C,
1,13:30,14:30,,F,3A,
2,13:30,14:30,,MV,3B,
3,13:30,14:30,,LM,3C,
4,13:30,14:30,,PF,3rD,
5,13:30,14:30,,JC,4tA,
2,13:30,14:30,,IZ,4tB,
3,13:30,14:30,,IM,4tC,
5,8:00,9:00,,MC,1A,
2,8:00,9:00,,R,1B,
3,8:00,9:00,,PF,1C,
3,8:00,9:00,,AN,2A,
2,8:00,9:00,,JM,2B,
3,8:00,9:00,,NM,2C,
5,8:00,9:00,,L,3A,
1,8:00,9:00,,MA,3B,
2,8:00,9:00,,A,3C,
5,8:00,9:00,,AP,3rD,
1,8:00,9:00,,IM,4tA,
2,8:00,9:00,,DP,4tB,
5,8:00,9:00,,JT,4tC,
4,9:00,10:00,,R,1A,
5,9:00,10:00,,CM,1B,
1,9:00,10:00,,S,1C,
2,9:00,10:00,,AN,2A,
