diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
Dimarts,13:30,14:30,,MCY,1rC,
Dimarts,13:30,14:30,,AF,2nA,
Dimarts,13:30,14:30,,LA,2nB,
Dimarts,13:30,14:30,,PF,2nC,
Dimarts,13:30,14:30,,LM,3rA,
Dimarts,13:30,14:30,,F,3rB,
Dimarts,13:30,14:30,,JC,3rC,
Dimarts,13:30,14:30,,MV,3rD,
Dimarts,13:30,14:30,,IZ,4tA,
Dimarts,13:30,14:30,,DP,4tB,
Dimarts,13:30,14:30,,BR,4tC,
Dimarts,8:00,9:00,,S,1rA,
Dimarts,8:00,9:00,,A,1rB,
Dimarts,8:00,9:00,,MA,1rC,
Dimarts,8:00,9:00,,LC,2nA,
Dimarts,8:00,9:00,,MCY,2nB,
Dimarts,8:00,9:00,,MS,2nC,
Dimarts,8:00,9:00,,PF,3rA,
Dimarts,8:00,9:00,,IM,3rB,
Dimarts,8:00,9:00,,MV,3rC,
Dimarts,8:00,9:00,,CM,3rD,
Dimarts,8:00,9:00,,AF,4tA,
Dimarts,8:00,9:00,,AN,4tB,
Dimarts,8:00,9:00,,NM,4tC,
Dimarts,9:00,10:00,,S,1rA,
Dimarts,9:00,10:00,,A,1rB,
Dimarts,9:00,10:00,,MA,1rC,
Dimarts,9:00,10:00,,PF,2nA,
Dimarts,9:00,10:00,,LC,2nB,
Dimarts,9:00,10:00,,MS,2nC,
Dimarts,9:00,10:00,,IM,3rA,
Dimarts,9:00,10:00,,LM,3rB,
Dimarts,9:00,10:00,,CM,3rC,
Dimarts,9:00,10:00,,LA,3rD,
Dimarts,9:00,10:00,,AF,4tA,
Dimarts,9:00,10:00,,AN,4tB,
Dimarts,9:00,10:00,,NM,4tC,
Dimarts,10:00,11:00,,IZ,1rA,
Dimarts,10:00,11:00,,MCY,1rB,
Dimarts,10:00,11:00,,S,1rC,
Dimarts,10:00,11:00,,AN,2nA,
Dimarts,10:00,11:00,,JM,2nB,
Dimarts,10:00,11:00,,NM,2nC,
Dimarts,10:00,11:00,,L,3rA,
Dimarts,10:00,11:00,,A,3rB,
Dimarts,10:00,11:00,,MA,3rC,
Dimarts,10:00,11:00,,AP,3rD,
Dimarts,10:00,11:00,,LM,4tA,
Dimarts,10:00,11:00,,JC,4tB,
Dimarts,10:00,11:00,,MV,4tC,
Dimarts,11:30,12:30,,S,1rA,
Dimarts,11:30,12:30,,JT,1rB,
Dimarts,11:30,12:30,,R,1rC,
Dimarts,11:30,12:30,,AN,2nA,
Dimarts,11:30,12:30,,JM,2nB,
Dimarts,11:30,12:30,,NM,2nC,
Dimarts,11:30,12:30,,L,3rA,
Dimarts,11:30,12:30,,A,3rB,
Dimarts,11:30,12:30,,MA,3rC,
Dimarts,11:30,12:30,,AP,3rD,
Dimarts,11:30,12:30,,MÇ,4tA,
Dimarts,11:30,12:30,,IM,4tB,
Dimarts,11:30,12:30,,LM,4tC,
Dimarts,12:30,13:30,,MCY,1rA,
Dimarts,12:30,13:30,,LC(1ri3r) CM(2n),1rB,
Dimarts,12:30,13:30,,LA,1rC,
Dimarts,12:30,13:30,,MS,2nA,
Dimarts,12:30,13:30,,AF,2nB,
Dimarts,12:30,13:30,,PF,2nC,
Dimarts,12:30,13:30,,F,3rA,
Dimarts,12:30,13:30,,MV,3rB,
Dimarts,12:30,13:30,,IZ,3rC,
Dimarts,12:30,13:30,,JC,3rD,
Dimarts,12:30,13:30,,DP,4tA,
Dimarts,12:30,13:30,,LM,4tB,
Dimarts,12:30,13:30,,IM,4tC,
Dimarts,13:30,14:30,,LC(1ri3r) R(2n),1rA,
Dimarts,13:30,14:30,,LA,1rB,
Dimarts,13:30,14:30,,MCY,1rC,
Dimarts,13:30,14:30,,AF,2nA,
Dimarts,13:30,14:30,,CM,2nB,
Dimarts,13:30,14:30,,PF,2nC,
Dimarts,13:30,14:30,,IZ,3rA,
Dimarts,13:30,14:30,,BR,3rB,
Dimarts,13:30,14:30,,JC,3rC,
Dimarts,13:30,14:30,,MV,3rD,
Dimarts,13:30,14:30,,LM,4tA,
Dimarts,13:30,14:30,,DP,4tB,
Dimarts,13:30,14:30,,F,4tC,
Dimecres,8:00,9:00,,CM,1rA,
Dimecres,8:00,9:00,,MCY,1rB,
Dimecres,8:00,9:00,,PF,1rC,
Dimecres,8:00,9:00,,F,2nA,
Dimecres,8:00,9:00,,AF,2nB,
Dimecres,8:00,9:00,,LA,2nC,
Dimecres,8:00,9:00,,LM,3rA,
Dimecres,8:00,9:00,,IM,3rB,
Dimecres,8:00,9:00,,MV,3rC,
Dimecres,8:00,9:00,,MS,3rD,
Dimecres,8:00,9:00,,IZ,4tA,
Dimecres,8:00,9:00,,MÇ,4tB,
Dimecres,8:00,9:00,,JC,4tC,
Dimecres,9:00,10:00,,S,1rA,
Dimecres,9:00,10:00,,CM,1rB,
Dimecres,9:00,10:00,,MCY,1rC,
Dimecres,9:00,10:00,,MS,2nA,
Dimecres,9:00,10:00,,LA,2nB,
Dimecres,9:00,10:00,,LC,2nC,
Dimecres,9:00,10:00,,IM,3rA,
Dimecres,9:00,10:00,,F,3rB,
Dimecres,9:00,10:00,,LM,3rC,
Dimecres,9:00,10:00,,AF,3rD,
Dimecres,9:00,10:00,,DP,4tA,
Dimecres,9:00,10:00,,IZ,4tB,
Dimecres,9:00,10:00,,BR,4tC,
Dimecres,10:00,11:00,,S,1rA,
Dimecres,10:00,11:00,,A,1rB,
Dimecres,10:00,11:00,,MA,1rC,
Dimecres,10:00,11:00,,PF,2nA,
Dimecres,10:00,11:00,,CM,2nB,
Dimecres,10:00,11:00,,MS,2nC,
Dimecres,10:00,11:00,,F,3rA,
Dimecres,10:00,11:00,,JC,3rB,
Dimecres,10:00,11:00,,R,3rC,
Dimecres,10:00,11:00,,MV,3rD,
Dimecres,10:00,11:00,,L,4tA,
Dimecres,10:00,11:00,,MÇ,4tB,
Dimecres,10:00,11:00,,AP,4tC,
Dimecres,11:00,11:30,,JC,1rA,
Dimecres,11:30,12:30,,S,1rA,
Dimecres,11:30,12:30,,A,1rB,
Dimecres,11:30,12:30,,MA,1rC,
Dimecres,11:30,12:30,,LA,2nA,
Dimecres,11:30,12:30,,MCY,2nB,
Dimecres,11:30,12:30,,F,2nC,
Dimecres,11:30,12:30,,JC,3rA,
Dimecres,11:30,12:30,,R,3rB,
Dimecres,11:30,12:30,,MS,3rC,
Dimecres,11:30,12:30,,PF,3rD,
Dimecres,11:30,12:30,,AF,4tA,
Dimecres,11:30,12:30,,AN,4tB,
Dimecres,11:30,12:30,,NM,4tC,
Dimecres,12:30,13:30,,MCY,1rA,
Dimecres,12:30,13:30,,JT,1rB,
Dimecres,12:30,13:30,,S,1rC,
